mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_knn__metric,param_knn__n_neighbors,param_knn__p,param_knn__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.07649068832397461,0.009633198399776442,0.6011245250701904,0.0775470082717714,euclidean,3,1,uniform,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 3, 'knn__p': 1, 'knn__weights': 'uniform'}",-89831.42780026991,-86593.9945054945,-87649.91073838444,-84271.3488529015,-86110.23250433776,-86891.38288027763,1832.0721985223431,97,-59985.03530460767,-59911.869963369965,-59829.166425679585,-60539.55323404665,-59699.90859359938,-59993.10670426065,289.17465743548104
0.07101802825927735,0.005192683010524923,0.5488789081573486,0.015308618594174681,euclidean,3,1,distance,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 3, 'knn__p': 1, 'knn__weights': 'distance'}",-88952.49521755755,-86132.0021214462,-87139.6898094795,-83373.49344558392,-85409.75380651181,-86201.48688011579,1848.106483221235,91,-581.4841940354794,-673.9799445126857,-707.3633192234006,-849.5620050419765,-784.2164708397482,-719.321186730658,92.05642188401859
0.05482954978942871,0.010289921596149427,0.6086030960083008,0.06487428653529005,euclidean,3,2,uniform,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 3, 'knn__p': 2, 'knn__weights': 'uniform'}",-89831.42780026991,-86593.9945054945,-87649.91073838444,-84271.3488529015,-86110.23250433776,-86891.38288027763,1832.0721985223431,97,-59985.03530460767,-59911.869963369965,-59829.166425679585,-60539.55323404665,-59699.90859359938,-59993.10670426065,289.17465743548104
0.051224279403686526,0.00429794715718369,0.46415486335754397,0.1000559736871586,euclidean,3,2,distance,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 3, 'knn__p': 2, 'knn__weights': 'distance'}",-88952.49521755755,-86132.0021214462,-87139.6898094795,-83373.49344558392,-85409.75380651181,-86201.48688011579,1848.106483221235,91,-581.4841940354794,-673.9799445126857,-707.3633192234006,-849.5620050419765,-784.2164708397482,-719.321186730658,92.05642188401859
0.058964109420776366,0.007312741274861952,0.4071145534515381,0.05588196503075633,euclidean,3,3,uniform,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 3, 'knn__p': 3, 'knn__weights': 'uniform'}",-89831.42780026991,-86593.9945054945,-87649.91073838444,-84271.3488529015,-86110.23250433776,-86891.38288027763,1832.0721985223431,97,-59985.03530460767,-59911.869963369965,-59829.166425679585,-60539.55323404665,-59699.90859359938,-59993.10670426065,289.17465743548104
0.05684814453125,0.012810279747941715,0.41923956871032714,0.047006101375167336,euclidean,3,3,distance,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 3, 'knn__p': 3, 'knn__weights': 'distance'}",-88952.49521755755,-86132.0021214462,-87139.6898094795,-83373.49344558392,-85409.75380651181,-86201.48688011579,1848.106483221235,91,-581.4841940354794,-673.9799445126857,-707.3633192234006,-849.5620050419765,-784.2164708397482,-719.321186730658,92.05642188401859
0.059642457962036134,0.009653233295506986,0.4123575210571289,0.05415049534783935,euclidean,5,1,uniform,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 5, 'knn__p': 1, 'knn__weights': 'uniform'}",-88037.84759976865,-83360.35610179293,-86510.82076344707,-82109.38710237131,-82745.2209947947,-84552.72651243492,2308.199859391272,69,-67905.36275303643,-68241.20481492192,-68411.25602949683,-68798.6138374783,-68481.87567958357,-68367.66262290342,293.3859927251907
0.059845495223999026,0.016680682004227117,0.38943867683410643,0.021902173228649516,euclidean,5,1,distance,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 5, 'knn__p': 1, 'knn__weights': 'distance'}",-86850.56805218651,-82684.69768311626,-85555.0373340387,-80748.10717137816,-81800.91542701234,-83527.86513354638,2305.216813342685,45,-581.5276541222855,-674.1651085536289,-707.4940386335903,-849.7404777461059,-784.3722745098127,-719.4599107130846,92.09424490774806
0.05749664306640625,0.005682548853448999,0.46357054710388185,0.0804050923135403,euclidean,5,2,uniform,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 5, 'knn__p': 2, 'knn__weights': 'uniform'}",-88037.84759976865,-83360.35610179293,-86510.82076344707,-82109.38710237131,-82745.2209947947,-84552.72651243492,2308.199859391272,69,-67905.36275303643,-68241.20481492192,-68411.25602949683,-68798.6138374783,-68481.87567958357,-68367.66262290342,293.3859927251907
0.05676503181457519,0.005827113530883447,0.4427894115447998,0.06407887286405207,euclidean,5,2,distance,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 5, 'knn__p': 2, 'knn__weights': 'distance'}",-86850.56805218651,-82684.69768311626,-85555.0373340387,-80748.10717137816,-81800.91542701234,-83527.86513354638,2305.216813342685,45,-581.5276541222855,-674.1651085536289,-707.4940386335903,-849.7404777461059,-784.3722745098127,-719.4599107130846,92.09424490774806
0.05375428199768066,0.007504880418836999,0.43926496505737306,0.06942214197368862,euclidean,5,3,uniform,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 5, 'knn__p': 3, 'knn__weights': 'uniform'}",-88037.84759976865,-83360.35610179293,-86510.82076344707,-82109.38710237131,-82745.2209947947,-84552.72651243492,2308.199859391272,69,-67905.36275303643,-68241.20481492192,-68411.25602949683,-68798.6138374783,-68481.87567958357,-68367.66262290342,293.3859927251907
